=== INPUT DATA ===
Chainage: 29.33, Roll: 0, Pitch: -2.996, Yaw: 222.837, Slope: 0
Chainage: 29.82, Roll: 0, Pitch: -2.996, Yaw: 222.837, Slope: 0
Chainage: 29.94, Roll: 0, Pitch: -2.996, Yaw: 222.837, Slope: 0
Chainage: 30.31, Roll: 0, Pitch: -2.996, Yaw: 222.837, Slope: 0
Chainage: 30.61, Roll: 0, Pitch: -2.996, Yaw: 222.837, Slope: 0
Chainage: 30.96, Roll: 0, Pitch: -2.996, Yaw: 222.837, Slope: 0
Chainage: 31.31, Roll: 0, Pitch: -2.996, Yaw: 222.837, Slope: 0
Chainage: 31.31, Roll: 0, Pitch: -2.996, Yaw: 222.837, Slope: 0
Chainage: 31.71, Roll: 0, Pitch: -2.996, Yaw: 222.837, Slope: 0
Chainage: 31.99, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 32.5, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 32.72, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 32.72, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 33.1, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 33.42, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 33.62, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 33.98, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 34.18, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 34.33, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 34.72, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 35, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 35.32, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 35.32, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 35.64, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 35.86, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 36.07, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 36.28, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 36.32, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 36.69, Roll: 0, Pitch: -3.559, Yaw: 218.502, Slope: 0
Chainage: 36.85, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 37.12, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 37.15, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 37.38, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 37.6, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 37.67, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 37.96, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 37.96, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 38.14, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 38.55, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 38.69, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 38.86, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 39.1, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 39.2, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 39.37, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 39.53, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 39.79, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 39.79, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 39.97, Roll: 0, Pitch: -4.285, Yaw: 213.641, Slope: 0
Chainage: 40.13, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 40.22, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 40.57, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 40.57, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 40.73, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 40.92, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 41.14, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 41.3, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 41.33, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 41.55, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 41.71, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 41.9, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 42.1, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 42.13, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 42.37, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 42.64, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 42.81, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 43.02, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 43.02, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 43.27, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 43.48, Roll: 0, Pitch: -4.733, Yaw: 211.893, Slope: 0
Chainage: 43.62, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 43.76, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 43.94, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 44.12, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 44.45, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 44.56, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 44.56, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 44.86, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 45.09, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 45.36, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 45.44, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 45.44, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
Chainage: 45.75, Roll: 0, Pitch: -3.774, Yaw: 219.151, Slope: 0
